,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps
37,18,86,60,26,20.41,21,17,4,19.95,120000,79456,32016,25512,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2400000.0,1589120.0,640320.0,510240.0
38,19,88,60,28,20.82,23,17,6,19.52,123400,80400,30360,25344,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2468000.0,1608000.0,607200.0,506880.0
39,20,86,62,24,21.41,24,18,6,20.29,129512,85536,34272,27624,7,2000000,51,5,1500,2000000,6.0799999999999994e-05,2000000,2590240.0,1710720.0,685440.0,552480.0
40,1,137,71,66,22.17,47,30,17,21.51,80072,40496,33816,18928,4,0,51,5,3200,0,6.5e-06,10000000,1601440.0,809920.0,676320.0,378560.0
41,2,137,75,62,22.23,45,31,14,20.91,78336,40896,29200,18536,4,0,51,5,3200,0,6.5e-06,10000000,1566720.0,817920.0,584000.0,370720.0
42,3,136,77,59,21.81,45,31,14,20.76,79144,42848,29472,17984,4,0,51,5,3200,0,6.5e-06,10000000,1582880.0,856960.0,589440.0,359680.0
43,4,138,71,67,22.41,46,31,15,20.98,89456,42824,29376,17744,4,0,51,5,3200,0,6.5e-06,10000000,1789120.0,856480.0,587520.0,354880.0
44,5,139,74,65,22.49,48,29,19,20.96,83880,43496,30160,16448,4,0,51,5,3200,0,6.5e-06,10000000,1677600.0,869920.0,603200.0,328960.0
45,6,136,76,60,22.23,46,28,18,20.39,89808,45824,28408,15352,4,0,51,5,3200,0,6.5e-06,10000000,1796160.0,916480.0,568160.0,307040.0
46,7,143,85,58,21.3,48,27,21,20.75,88816,47520,31784,15600,4,0,51,5,3200,0,6.5e-06,10000000,1776320.0,950400.0,635680.0,312000.0
47,8,145,83,62,20.96,44,27,17,20.16,99752,51064,29176,15536,4,0,51,5,3200,0,6.5e-06,10000000,1995040.0,1021280.0,583520.0,310720.0
48,9,144,79,65,22.32,52,28,24,21.75,85168,40480,36640,18152,4,0,51,5,3200,0,6.5e-06,10000000,1703360.0,809600.0,732800.0,363040.0
49,10,144,80,64,21.84,51,28,23,21.25,82920,40144,36896,17776,4,0,51,5,3200,0,6.5e-06,10000000,1658400.0,802880.0,737920.0,355520.0
50,11,145,79,66,21.68,50,27,23,21.16,91184,43648,33752,17040,4,0,51,5,3200,0,6.5e-06,10000000,1823680.0,872960.0,675040.0,340800.0
51,12,145,86,59,21.17,44,27,17,19.66,85192,45256,27312,15608,4,0,51,5,3200,0,6.5e-06,10000000,1703840.0,905120.0,546240.0,312160.0
52,13,150,87,63,20.67,45,28,17,21.69,86536,42024,27888,17152,4,0,51,5,3200,0,6.5e-06,10000000,1730720.0,840480.0,557760.0,343040.0
53,14,146,83,63,21.47,49,28,21,21.37,75312,38056,29216,16880,4,0,51,5,3200,0,6.5e-06,10000000,1506240.0,761120.0,584320.0,337600.0
54,15,146,83,63,20.92,47,27,20,21.04,88312,41936,28336,16896,4,0,51,5,3200,0,6.5e-06,10000000,1766240.0,838720.0,566720.0,337920.0
55,16,151,87,64,21.05,49,30,19,19.92,78056,38864,27704,17104,4,0,51,5,3200,0,6.5e-06,10000000,1561120.0,777280.0,554080.0,342080.0
56,17,145,86,59,21.28,50,29,21,21.16,75032,40016,28552,16688,4,0,51,5,3200,0,6.5e-06,10000000,1500640.0,800320.0,571040.0,333760.0
57,18,147,85,62,21.2,47,27,20,21.87,74880,39592,31664,16320,4,0,51,5,3200,0,6.5e-06,10000000,1497600.0,791840.0,633280.0,326400.0
58,19,140,80,60,20.9,47,28,19,21.02,89296,45520,29904,16264,4,0,51,5,3200,0,6.5e-06,10000000,1785920.0,910400.0,598080.0,325280.0
59,20,134,71,63,21.73,45,29,16,19.67,80504,40992,27936,15216,4,0,51,5,3200,0,6.5e-06,10000000,1610080.0,819840.0,558720.0,304320.0
60,1,281,162,119,22.59,173,91,82,21.69,45072,24704,46464,23568,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,450720.0,247040.0,464640.0,235680.0
61,2,284,168,116,21.99,167,91,76,21.1,45144,24920,43536,22512,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,451440.0,249200.0,435360.0,225120.0
62,3,282,167,115,22.39,175,95,80,21.54,44824,25216,47672,24456,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,448240.0,252160.0,476720.0,244560.0
63,4,280,160,120,22.89,167,88,79,22.1,43304,23824,45680,23016,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,433040.0,238240.0,456800.0,230160.0
64,5,285,163,122,22.6,176,91,85,22.11,42792,24088,48016,24464,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,427920.0,240880.0,480160.0,244640.0
65,6,288,168,120,22.41,170,91,79,22.22,52272,27008,45320,23944,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,522720.0,270080.0,453200.0,239440.0
66,7,279,154,125,22.87,172,89,83,21.77,43688,22632,43992,23152,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,436880.0,226320.0,439920.0,231520.0
67,8,283,156,127,22.11,179,96,83,21.04,40528,21808,46360,25448,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,405280.0,218080.0,463600.0,254480.0
68,9,281,154,127,22.79,169,92,77,21.62,41992,22680,43872,24392,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,419920.0,226800.0,438720.0,243920.0
